sourceKeyword,PRDLST_NM,PRDLST_DCNM,POG_DAYCNT,QLITY_MNTNC_TMLMT_DAYCNT,BSSH_NM,PRDLST_REPORT_NO,PRMS_DT,LAST_UPDT_DTM
치즈,(차차커피코)냉동완제_얼그레이 크림치즈 쿠키,과자,냉동보관 제조일로부터 6개월,,로로에프엔비주식회사,20170383088171,20210902,20260529
치즈,(피자팜비어)칠리스핫치즈스틱,기타가공품,제조일로부터 12개월까지,,(주)초이스키친,20190324143145,20260304,20260305
치즈,(하루우동)치즈카츠,식육함유가공품,제조일로부터12개월,해당없음.,정성치즈카츠,202308524813,20250519,20260519
치즈,(헝그리부처)맥앤치즈소스,소스,제조일로부터 3개월,,태원식품산업(주),1985031100114460,20240503,20240509
치즈,(홀)블루베리 쿠키 치즈케이크,빵류,냉장5일,,주식회사신세계푸드천안공장,200404490102877,20150513,20220614
치즈,120kcal 펌킨치즈 샐러드,즉석섭취식품,제조일로부터 6일까지 (냉장),,주식회사 삼립 청주공장,201704150801046,20240816,20240820
치즈,190번트치즈케익,빵류,제조일로부터 15일까지(실온),,주식회사삼립,199503380158929,20240424,20240425
치즈,1988덕복희여사 쌀쌀맞은 치즈떡,떡류,제조일로부터 12개월,,(주)지산푸드시스템,2010014722847,20151116,20220723
치즈,1A 우유로 만든 치즈케익,빵류,제조일로부터 10일까지 (실온),,주식회사삼립,199503380158989,20241010,20241012
치즈,1am 토핑잇 알뜰샐러드 더블치즈,즉석섭취식품,제조일로부터 6일,,주식회사 팜스팜 농업회사법인,2021036325526,20220223,20240427
계란,PLANT BASED 바르다 계란 곤약 김밥,즉석조리식품,제조일로부터 냉동18개월,,(주)이노하스,2024066107523,20240729,20240912
계란,SC 발아현미팽이버섯계란옹근죽,영.유아용 이유식,제조일로부터 1개월까지,,(주)에코맘의 산골이유식,20200614037651,20220409,20220414
계란,SNOWFOX계란참치풀밥,즉석섭취식품,제조일로부터 6일,,(주)스윗밸런스랩,20210280073471,20250818,20250911
계란,YES 노릇한 계란옷 입힌 새우부추완자,기타 수산물가공품,제조일로부터 12개월까지,,(주)네이처앤컬처,20020347127210,20260317,20260319
계란,[당뇨식단] 계란볶음밥&짜장소스 세트,당뇨환자용 식단형 식품,제조일로부터 4일,,(주)현대그린푸드 스마트푸드센터,201902803273436,20240321,20240329
계란,[당뇨식단] 현미계란볶음밥/동태전 세트,당뇨환자용 식단형 식품,제조일로부터 270일,,(주)현대그린푸드 스마트푸드센터,201902803274407,20250715,20250717
계란,[당뇨식단] 현미계란볶음밥/사태찜 세트,당뇨환자용 식단형 식품,제조일로부터 270일,,(주)현대그린푸드 스마트푸드센터,201902803274262,20250617,20260422
계란,[암식단] 현미계란볶음밥/동태전 세트,암환자용 식단형 식품,제조일로부터 270일,,(주)현대그린푸드 스마트푸드센터,201902803274410,20250715,20250717
계란,[암식단] 현미계란볶음밥/사태찜 세트,암환자용 식단형 식품,제조일로부터 270일,,(주)현대그린푸드 스마트푸드센터,201902803274265,20250617,20260422
계란,[힙한녀석들]계란토스트,빵류,제조일로부터 12개월,,(주)홍두당,20160158491300,20250407,20250409
계란,bk)계란카스테라,빵류,제조일로부터 12개월까지 (냉동),,(주)샤니,197102750035239,20220630,20220706
계란,efarm. kid's 계란과자,과자,실온 12개월,,(주)대산후드 탄현2공장,19930355028241,20220311,20260528
계란,new계란지단김밥(5입),즉석섭취식품,제조시간으로부터 43시간,,롯데평택CK 주식회사,199503062741779,20221018,20260207
계란,new계란지단김밥(5입),즉석섭취식품,제조시간으로부터 37시간,,롯데용인CK 주식회사,200003470522890,20221013,20221015
계란,가농 DHA 계란과자,과자,제조일로부터 6개월까지,,(주)자연드림치유식품 베이커리공방,20180521026220,20250207,20250414
계란,가벼운 오트밀 두부 계란밥,즉석조리식품,제조일로부터 12개월,,한국에스비식품(주),196903640042133,20250120,20260201
계란,가쓰오계란장조림 세트,즉석섭취식품,제조일로부터 4일,,(주)현대그린푸드 스마트푸드센터,201902803272778,20230208,20250903
계란,가자미계란찜,영.유아용 이유식,제조일로부터 25일,해당없음,(주)푸드케어 2공장,202203961751073,20260202,20260321
계란,가자미계란탕,영.유아용 이유식,제조일로부터 25일,해당없음,(주)푸드케어 2공장,202203961751060,20260130,20260522
계란,간장계란 주먹밥,즉석조리식품,제조일로부터 9개월까지,,(주)엄지식품,20210504123274,20240105,20241003
계란,간장계란곤약볶음밥&햄,즉석조리식품,제조일로부터 냉동(-18℃이하) 9개월,해당없음,(주)사랑과정성,20100368370123,20201119,20201120
계란,간장계란규동,즉석섭취식품,제조일시로부터 72시간 이내,,(주)후레쉬서브,200803362281592,20251119,20251126
계란,간장계란덮밥소스,즉석조리식품,제조일로부터 12일,,순수본 주식회사,20180491181518,20221028,20240117
계란,간장계란밥,즉석섭취식품,제조일시로부터 72시간 이내,,(주)후레쉬서브,200803362281591,20251119,20251125
계란,간장계란밥&양념불닭,즉석조리식품,제조일로부터 12개월까지,,(주)푸드인모닝스타,20220493563196,20241021,20241210
계란,간장계란밥소스-이,소스,제조일부터 4개월 (냉장보관),,(주)동원홈푸드,20190442149583,20201123,20201124
계란,간장계란밥소스-이,소스,제조일부터 5개월 (냉장보관),,(주)동원홈푸드,200204610739143,20171219,20250220
계란,간장계란버터맛씨즈닝,복합조미식품,제조일로부터 1년,,(주)은하푸드웰,199106070161588,20220210,20230606
계란,간장계란버터밥,즉석조리식품,제조일로부터 12일,,순수본 주식회사,20180491181564,20230622,20240305
계란,간장계란볶음밥,즉석조리식품,제조일로부터 12개월가지,,농업회사법인 주식회사 한우물,20080493074476,20180719,20240117
두부,21곡 두부 국수과자,과자,제조일로부터 9개월,제조일로부터 9개월,농업회사법인(주) 제이제이,1998037013770,20251023,20251025
두부,2대째당진손두부,두부,15일,,당진두부,197104560073,20131008,20251217
두부,2배더진한마파두부소스,소스,제조일로부터 6개월,,(주)현대그린푸드 스마트푸드센터,201902803274866,20260424,20260430
두부,30 순두부찌개분말,복합조미식품,12개월(실온),,주식회사 세원프레쉬,201503686511462,20260319,20260325
두부,365한컵두부,두부,제조일로터 15일 (냉장상태 10℃이하),,(주)오빌식품,1972033800132,20060908,20160706
두부,3단압출 쫄깃 두부면 채소전골맛,숙면,제조일로부터 5개월,,농업회사법인 한둘푸드주식회사,20240291516105,20250401,20250402
