sourceKeyword,sourceKeywords,PRDLST_NM,PRDLST_DCNM,POG_DAYCNT,QLITY_MNTNC_TMLMT_DAYCNT,BSSH_NM,PRDLST_REPORT_NO,PRMS_DT,LAST_UPDT_DTM
계란,,통가슴살과 곤약 간장버터계란밥,즉석조리식품,제조일로부터 9개월까지,,(주)엄지식품,20210504123408,20260120,20260122
계란,,통가슴살과 곤약 간장버터계란밥,즉석조리식품,제조일로부터 9개월,,주식회사 엄지식품,201504932081254,20241225,20250101
계란,,통계란 곤약김밥,즉석조리식품,제조일로부터 12개월까지,,(주)우양 청양2공장(뉴뜨레),20190476035251,20250428,20250801
계란,,통계란 김밥,즉석조리식품,제조일로부터 12개월까지,,(주)우양 청양2공장(뉴뜨레),20190476035260,20250515,20250517
계란,,통계란&닭가슴살샐러드,즉석섭취식품,제조일로부터 6일 까지,제조일로부터 6일 까지,(주)농업회사법인 은성,20160375275157,20251123,20260613
계란,,통계란&닭가슴살샐러드,즉석섭취식품,제조일로부터 6일 까지,제조일로부터 6일 까지,(주)농업법인 은성,20200393064102,20251124,20260613
계란,,통계란&불고기샐러드,즉석섭취식품,제조일로부터 5일,,(주)현대그린푸드 스마트푸드센터,201902803271425,20201016,20260419
계란,,통계란구이말이,즉석섭취식품,제조시간으로부터 52시간까지,,삼성웰스토리 Central Kitchen 아산,20240702932351,20260521,20260522
계란,,통계란말이김밥,즉석섭취식품,제조시간으로부터 48시간,,(주)현대그린푸드 스마트푸드센터,201902803274057,20250307,20260115
계란,,통계란빵,빵류,제조일로부터 6개월까지,,(주)라온씨앤비,20180162202151,20240613,20240614
계란,,통계란초밥김밥,즉석섭취식품,제조시간으로부터 52시간 까지,,(주)비지에프푸드,20200450031537,20250711,20260605
계란,,통계란초밥김밥,즉석섭취식품,제조시간으로부터 52시간,,(주)푸드플래닛,201503831781557,20260602,20260606
계란,,통계란초밥김밥,즉석섭취식품,제조시간으로부터 50시간까지,,(주)원푸드림 주촌지점,20170607069368,20250714,20260602
계란,,통모짜치즈계란말이,즉석조리식품,제조일로부터 7일,,팜스더프레시,20220299544278,20240623,20240717
계란,,통밀 햄&계란,즉석섭취식품,제조일로부터 72시간까지,,(주)푸드코아,2004027505725,20210927,20210930
계란,,통베이컨계란듬뿍버거,즉석섭취식품,제조시간으로부터 96시간,,(주)우리델리카,20150443298369,20201026,20201027
계란,,통스팸계란밥,즉석섭취식품,제조시간으로부터 50시간,,(주)청탑,200503682361326,20241127,20241204
계란,,통촉촉계란말이김밥,즉석섭취식품,제조일시로부터 72시간 이내,,(주)후레쉬서브,200803362281574,20250913,20250924
계란,,통촉촉계란말이김밥,즉석섭취식품,제조일의 제조시간으로부터 72시간,,(주)가온에프에스,201105280671073,20250911,20260331
계란,,튀겨나온 치즈와계란을품은닭,식육함유가공품,제조일로부터 9개월 까지,,주식회사 와이앤비푸드,20120464159137,20200403,20200408
계란,,파로 새우계란죽,즉석조리식품,제조일로부터 3개월,,(주)에르코스농업회사법인,20100231185680,20260601,20260612
계란,,파송송계란소면,건면,제조일로부터 18개월,해당사항 없음,농업회사법인 (주)백제,20130473042284,20250422,20250625
계란,,파스타앤우 간장버터계란 얹은 필라프,즉석조리식품,제조일로부터 12개월까지,,주식회사 엄지식품,20150493208985,20221110,20240117
계란,,파프리카새우계란만두,만두,제조일로부터 9개월,,(주)엄지식품,200104933581100,20230315,20240117
계란,,팔도다옴 반숙계란장,조림류,제조일로부터 15일,,농업회사법인 소생로컬푸드 주식회사 제2공장,20210559160392,20240705,20240717
계란,,팔도다옴 야채계란장,조림류,제조일로부터 15일,,농업회사법인 소생로컬푸드 주식회사 제2공장,20210559160391,20240705,20240713
계란,,페이보잇 한끼 계란야채죽,즉석조리식품,냉동에서 제조일로부터 12개월까지,,(주)로뎀푸드,20070372333298,20230921,20230923
계란,,페파로니올리브계란빵 피자,빵류,제조일부터15일까지(냉장),,(주)도깨비제과,2024028385039,20251104,20251106
계란,,편한한끼 덮시락 햄야채볶음밥과 계란후라이,즉석조리식품,제조일로부터 12개월,,(주)샛별푸드,2019020243075,20210121,20241105
계란,,포근포근 쌀계란과자,과자,제조일로부터 6개월 까지,,(주)자연드림치유식품 베이커리공방,20180521026163,20231021,20231030
계란,,포근한 계란빵 포근란빵 대파베이컨치즈,빵류,제조일부터9개월까지,,(주)도깨비제과,2024028385026,20250530,20250603
계란,,포근한 계란빵 포근란빵 콘치즈,빵류,제조일부터9개월까지,,(주)도깨비제과,2024028385025,20250530,20250603
계란,,포근한 계란빵 포근란빵 플레인,빵류,제조일부터9개월까지,,(주)도깨비제과,2024028385027,20250530,20250611
계란,,포메인 계란밥,즉석조리식품,12개월 / 냉동,,(주)시아스,200504150205066,20250711,20250715
계란,,포켓도시락 귀리잡곡밥  계란&김치볶음,즉석조리식품,제조일로부터 9개월까지,해당없음.,(주)밥상푸드,20060208332418,20240416,20240421
계란,,포크계란덮밥,즉석조리식품,제조일로부터 8일,,주식회사 지니온,20240320157513,20241114,20241116
계란,,폭신폭신 계란구름 가리비관자,기타 수산물가공품,제조일로부터 12개월까지,,(주)그린푸드,20000149041640,20260130,20260204
계란,,퐁신퐁신 저당 계란빵 오리지널,빵류,제조일로부터 6개월,,세동주식회사,20210164045168,20260413,20260418
계란,,퐁신퐁신 저당 계란빵 햄치즈,빵류,제조일로부터 6개월,,세동주식회사,20210164045169,20260413,20260418
계란,,표고버섯닭살계란탕,즉석조리식품,제조일로부터 12일,,순수본 주식회사,20180491181764,20260324,20260330
계란,,푸디버디 계란야채 볶음밥,즉석조리식품,제조일로부터 12개월,,(주)하림산업 함열식품1공장,20200491392404,20230829,20240117
계란,,푸디버디 새우계란볶음밥,즉석조리식품,제조일로부터 12개월 까지,,(주)하림산업 함열식품1공장,20200491392575,20250207,20250211
계란,,푸딩같은 계란찜,즉석조리식품,제조일로부터 5일,,주식회사케이제이푸드(KJ Food),20210424124587,20230718,20230824
계란,,푸딩같은 계란찜,즉석조리식품,제조일로부터 7일,,주식회사찬장에프에스대전,20220321100391,20221206,20260530
계란,,푸딩계란찜,기타가공품,제조일로부터 5일(냉장),,팜스더프레시,20220299544370,20250828,20250829
계란,,푸딩계란찜양념,복합조미식품,,해당없음.,국민푸드,201703302563,20200708,20200710
계란,,푸르나이 우리밀 계란과자,과자,제조일로부터 12개월 까지,,(주)대산후드 탄현2공장,19930355028298,20260623,20260626
계란,,푸르온 알찬 계란볶음밥,즉석조리식품,제조일로부터 12개월,,(주) 푸르온,19990461386888,20230308,20230310
계란,,푸짐한끼 계란후라이&담백게살볶음밥,즉석조리식품,제조일로부터 9개월,,주식회사 엄지식품,20150493208565,20200422,20240117
계란,,푸짐한끼 계란후라이&매콤낙지볶음밥,즉석조리식품,제조일로부터 9개월,,주식회사 엄지식품,20150493208563,20200422,20240117
계란,,푸짐한끼 계란후라이&소불고기볶음밥,즉석조리식품,제조일로부터 9개월,,주식회사 엄지식품,20150493208564,20200422,20240117
계란,,푸짐한끼 계란후라이&완벽김치볶음밥,즉석조리식품,제조일로부터 9개월,,주식회사 엄지식품,20150493208561,20200422,20240117
계란,,푸짐한끼 계란후라이&참치김치볶음밥,즉석조리식품,제조일로부터 9개월,,주식회사 엄지식품,20150493208562,20200422,20240117
계란,,푸짐한끼 계란후라이&치킨데리볶음밥,즉석조리식품,제조일로부터 9개월,,주식회사 엄지식품,20150493208660,20200910,20240117
