sourceKeyword,sourceKeywords,PRDLST_NM,PRDLST_DCNM,POG_DAYCNT,QLITY_MNTNC_TMLMT_DAYCNT,BSSH_NM,PRDLST_REPORT_NO,PRMS_DT,LAST_UPDT_DTM
떡볶이,떡볶이,(냉동)담짜 로제 떡볶이,즉석조리식품,제조일로부터 12개월,,주식회사제일씨엔에프(C&F),20210212298175,20260323,20260326
당근,당근,(냉동)당근시트,빵류,제조일로부터 180일,,(주)현대그린푸드 베이커리공장,20160275388457,20240314,20240321
당근,당근,(냉동)당근케익,빵류,제조일로부터 90일,,(주)현대그린푸드 베이커리공장,20160275388197,20190909,20240327
쿠키,쿠키,(냉동)더블퍼지쿠키,과자,제조일로부터 180일,,(주)현대그린푸드 베이커리공장,20160275388497,20250226,20250304
무,무,(냉동)라즈베리무스케익,빵류,제조일로부터 6개월까지,-18℃이하 냉동보관시 제조일로부터 6개월,(주)북해도스위트코리아,2014045904051,20240807,20251014
갈비,갈비,(냉동)마블킹 갈비살 스테이크,즉석조리식품,제조일로부터 12개월,,주식회사제일씨엔에프(C&F),2021021229895,20220328,20231213
차,차,(냉동)마차 쿠키,과자,냉동보관(-18℃이하) / 제조일로부터 12개월,,주식회사 더블스윗,2023048916893,20250909,20260529
쿠키,쿠키,(냉동)마카다미아 쿠키,과자,냉동보관(-18℃이하) / 제조일로부터 12개월,,주식회사 더블스윗,2023048916892,20250909,20260529
파스타,파스타,(냉동)매콤 빠네 크림파스타,즉석조리식품,제조일로부터 12개월,,주식회사제일씨엔에프(C&F),2021021229897,20220328,20231213
떡볶이,떡볶이,(냉동)매콤한 우삼겹 즉석 떡볶이,즉석조리식품,제조일로부터 12개월,,주식회사제일씨엔에프(C&F),20210212298110,20220329,20231213
치즈,치즈,(냉동)무화과크림치즈휘낭시에,빵류,제조일로부터 180일,,(주)현대그린푸드 베이커리공장,20160275388547,20251010,20251014
딸기,딸기,(냉동)미니딸기맛도넛,빵류,냉동 9개월,,SM푸드(에스엠푸드),2019035848282,20240622,20240625
소금,소금,(냉동)바게트 소금빵,빵류,냉동보관(-18℃이하) / 제조일로부터 9개월,,주식회사 더블스윗,2023048916889,20250723,20250819
빵,빵,(냉동)바게트빵(슬라이스),빵류,냉동 200일,,(주)신라명과,19930618060967,20220608,20260530
어묵,어묵,(냉동)바른어묵 국탕용종합,어묵,제조일로부터 12개월 까지,,(주)동원에프앤비 진천2공장,2025067241135,20260518,20260520
케이크,케이크,(냉동)바스크케이크,빵류,제조일부터 180일,,(주)현대그린푸드 베이커리공장,20160275388496,20250221,20250726
소금,소금,(냉동)바질소금빵,빵류,냉동 6개월,,달콤한위로,202200602959,20230824,20230826
토마토,토마토,(냉동)바질토마토스콘,빵류,제조일로부터 90일,,(주)현대그린푸드 베이커리공장,20160275388348,20210712,20250206
버터,버터,(냉동)버터떡,빵류,제조일로부터 180일,,(주)현대그린푸드 베이커리공장,20160275388586,20260401,20260404
블루베리,블루베리,(냉동)블루베리롤,빵류,제조일로부터 90일,,(주)현대그린푸드 베이커리공장,20160275388140,20170621,20250730
치즈,치즈,(냉동)빅불고기치즈벅,즉석조리식품,제조일로부터 12개월까지,,주식회사 대신에프에스,20160501105244,20251217,20251225
